Input_Size,Time_Taken
7171,53060000
7181,58872000
7191,62039000
7201,64782000
7211,60019000
7221,56148000
7231,77489000
7241,70504000
7251,68131000
7261,67171000
7271,58663000
7281,56275000
7291,66747000
7301,66561000
7311,66219000
7321,62027000
7331,55243000
7341,76553000
7351,74354000
7361,59508000
7371,73401000
7381,61443000
7391,57767000
7401,64020000
7411,65835000
7421,66433000
7431,50002000
7441,59559000
7451,56795000
7461,72666000
7471,63976000
7481,68056000
7491,95262000
7501,61799000
7511,65220000
7521,61839000
7531,56828000
7541,72226000
7551,64696000
7561,66984000
7571,68637000
7581,60942000
7591,73044000
7601,66216000
7611,64441000
7621,72031000
7631,67665000
7641,75013000
7651,69201000
7661,67529000
7671,65165000
7681,66235000
7691,62327000
7701,65740000
7711,80089000
7721,65779000
7731,66244000
7741,68001000
7751,70128000
7761,73393000
7771,64580000
7781,76977000
7791,93537000
7801,69057000
7811,74331000
7821,70434000
7831,69172000
7841,66169000
7851,65763000
7861,66705000
7871,66611000
7881,65832000
7891,65876000
7901,66370000
7911,66742000
7921,71003000
7931,65708000
7941,65966000
7951,65922000
7961,83124000
7971,74844000
7981,73641000
7991,75070000
8001,70751000
8011,74253000
8021,68894000
8031,70564000
8041,74922000
8051,67553000
8061,75139000
8071,68960000
8081,71104000
8091,71535000
8101,70029000
8111,66389000
8121,80828000
8131,64601000
8141,92634000
8151,82203000
8161,78948000
8171,69346000
8181,79050000
8191,89833000
8201,67461000
8211,78780000
8221,84062000
8231,70926000
8241,68238000
8251,83815000
8261,75606000
8271,63191000
8281,96296000
8291,62390000
8301,80219000
8311,79900000
8321,64087000
8331,95462000
8341,78912000
8351,82067000
8361,74095000
8371,64169000
8381,89068000
8391,80574000
8401,76753000
8411,77737000
8421,99784000
8431,91006000
8441,98678000
8451,94845000
8461,94525000
8471,101204000
8481,91893000
8491,102786000
8501,103892000
8511,126367000
8521,94942000
8531,112311000
8541,92741000
8551,115035000
8561,77651000
8571,113418000
8581,109099000
8591,88063000
8601,103708000
8611,117661000
8621,106819000
8631,102086000
8641,106911000
8651,116110000
8661,116556000
8671,99315000
8681,123656000
8691,101130000
8701,97599000
8711,99037000
8721,98965000
8731,101731000
8741,116060000
8751,133387000
8761,128325000
8771,104787000
8781,127797000
8791,107988000
8801,108007000
8811,123190000
8821,100269000
8831,123852000
8841,115231000
8851,92421000
8861,118869000
8871,112583000
8881,118422000
8891,132713000
8901,146222000
8911,120794000
8921,114674000
8931,96668000
8941,149293000
8951,116278000
8961,117536000
8971,108661000
8981,94908000
8991,102217000
9001,111836000
9011,120106000
9021,128648000
9031,145966000
9041,103048000
9051,184190000
9061,147576000
9071,122781000
9081,97174000
9091,116051000
9101,126019000
9111,141317000
9121,105094000
9131,99649000
9141,105262000
9151,98168000
9161,100154000
9171,108561000
9181,108363000
9191,95869000
9201,105306000
9211,117192000
9221,115982000
9231,122514000
9241,126382000
9251,100412000
9261,99586000
9271,82642000
9281,101085000
9291,103785000
9301,169790000
9311,182320000
9321,112312000
9331,103712000
9341,110061000
9351,115173000
9361,132515000
9371,111968000
9381,125680000
9391,150574000
9401,89327000
9411,112529000
9421,100477000
9431,94642000
9441,80870000
9451,95594000
9461,95605000
9471,126763000
9481,125650000
9491,152394000
9501,127820000
9511,100344000
9521,78739000
9531,109920000
9541,100423000
9551,105240000
9561,103902000
9571,119830000
9581,112032000
9591,111678000
9601,126249000
9611,102742000
9621,108916000
9631,103353000
9641,126770000
9651,113980000
9661,143769000
9671,127227000
9681,157707000
9691,128609000
9701,143380000
9711,110873000
9721,111028000
9731,112343000
9741,110847000
9751,110599000
9761,95541000
9771,110523000
9781,110242000
9791,112654000
9801,381632000
9811,398945000
9821,416061000
9831,431328000
9841,419351000
9851,405687000
9861,430752000
9871,444407000
9881,421156000
9891,399881000
9901,416485000
9911,438743000
9921,433470000
9931,456675000
9941,399828000
9951,479352000
9961,411392000
9971,445022000
9981,436190000
9991,393791000
10001,454412000
10011,442566000
10021,420191000
10031,439365000
10041,431726000
10051,438460000
10061,448907000
10071,431361000
10081,454379000
10091,434495000
10101,431045000
10111,443674000
10121,410191000
10131,392897000
10141,410017000
10151,399251000
10161,396620000
10171,414185000
10181,386913000
10191,392035000
10201,428055000
10211,396531000
10221,399211000
10231,391203000
10241,391163000
10251,403388000
10261,389846000
10271,397593000
10281,397723000
10291,412553000
10301,397537000
10311,414322000
10321,492361000
