Input_Size,Time_Taken
6081,0.002104
6091,0.001898
6101,0.002006
6111,0.002718
6121,0.001602
6131,0.002086
6141,0.002002
6151,0.002003
6161,0.002335
6171,0.001505
6181,0.002009
6191,0.002
6201,0.001999
6211,0.002059
6221,0.002022
6231,0.001988
6241,0.002092
6251,0.002002
6261,0.002031
6271,0.002583
6281,0.002101
6291,0.00195
6301,0.000949
6311,0.001109
6321,0.002265
6331,0.000916
6341,0.002359
6351,0.001594
6361,0.001623
6371,0.002
6381,0.001998
6391,0.001999
6401,0.002005
6411,0.002606
6421,0.003001
6431,0.00251
6441,0.001717
6451,0.002188
6461,0.002329
6471,0.001606
6481,0.00253
6491,0.002117
6501,0.00198
6511,0.002908
6521,0.002713
6531,0.001926
6541,0.001993
6551,0.002061
6561,0.002441
6571,0.001356
6581,0.002252
6591,0.002001
6601,0.00096
6611,0.003204
6621,0.002004
6631,0.001902
6641,0.00238
6651,0.002001
6661,0.002236
6671,0.002007
6681,0.002094
6691,0.001995
6701,0.002514
6711,0.003138
6721,0.001997
6731,0.002
6741,0.001648
6751,0.001539
6761,0.001961
6771,0.002092
6781,0.003242
6791,0.002021
6801,0.002076
6811,0.002002
6821,0.00192
6831,0.002999
6841,0.002606
6851,0.002995
6861,0.001998
6871,0.002555
6881,0.001999
6891,0.001001
6901,0.002007
6911,0.002449
6921,0.002117
6931,0.003999
6941,0.002
6951,0.001547
6961,0.00309
6971,0.001915
6981,0.003284
6991,0.003011
7001,0.002006
7011,0.001992
7021,0.002371
7031,0.003043
7041,0.002382
7051,0.002088
7061,0.001943
7071,0.002074
7081,0.001941
7091,0.001912
7101,0.003743
7111,0.001991
7121,0.002006
7131,0.001998
7141,0.003218
7151,0.002518
7161,0.003
7171,0.003019
7181,0.001561
7191,0.003021
7201,0.002979
7211,0.002092
7221,0.001697
7231,0.002904
7241,0.001999
7251,0.003043
7261,0.002973
7271,0.003001
7281,0.002515
7291,0.003542
7301,0.002976
7311,0.001999
7321,0.003442
7331,0.002019
7341,0.002371
7351,0.002913
7361,0.002508
7371,0.002086
7381,0.002929
7391,0.002066
7401,0.002204
7411,0.002615
7421,0.001998
7431,0.003012
7441,0.002019
7451,0.003021
7461,0.001984
7471,0.003002
7481,0.002051
7491,0.004032
7501,0.00199
7511,0.002
7521,0.003087
7531,0.002025
7541,0.001992
7551,0.002414
7561,0.001922
7571,0.002005
7581,0.002012
7591,0.001983
7601,0.00153
7611,0.002001
7621,0.003004
7631,0.002525
7641,0.002552
7651,0.002002
7661,0.002485
7671,0.003528
7681,0.002741
7691,0.002017
7701,0.002
7711,0.001504
7721,0.002081
